id,name,short_name,website_url,date_of_establishment,total_number_of_staff,object_id,address_id,content_type_id,type_id,mission,vision,approved,avatar
40,Interactive Adventure,Interactive Adventure,https://dolorein.net,2018-02-06,321,6,40,31,Financial Institution,Laoreet vero molestie velit ullamcorper Utwisi lobortis exerci zzril.,Odio suscipit duis facilisi iriuredolor augue consequat consequat at.,t,""
41,Graphics Frontier Telecom,Graphics Frontier Telecom,https://invulputatenisl.gov,2014-12-21,467,9,41,35,Technical assistance providers,Vulputate elitsed eu ex feugait consectetuer vulputate in odio commodo.,Et in amet consequatvel dolor eros.,f,""
42,Provider Application,Provider Application,https://dolorealiquip.net,2018-01-13,267,7,42,31,Financial Institution,Feugiat ut minim in in.,Amet dolor delenit accumsan duis veniamquis erat volutpat dolor praesent iustoodio eros et.,f,""
43,Power Graphics Systems,Power Graphics Systems,https://enimzzril.eu,2014-11-24,552,7,43,29,Academia,Ad esse sit dolore facilisi ex dolore diam quis.,Praesent aliquam vero autem veniamquis nislut te odio duis consequat commodo hendrerit.,f,""
44,Hill Resource,Hill Resource,https://eumin.net,2012-08-01,799,5,44,38,Technology/Service Provider,Nisl eufeugiat delenit quis at in hendrerit ipsum.,Qui exerci lorem augue iusto dolor diam consequatvel vel et.,t,""
45,Frontier General,Frontier General,https://aliquipenim.edu,2011-04-01,480,8,45,29,Academia,Vero autem exerci at consequatvel facilisis hendrerit in dolor illum aliquip vel lobortis.,Delenitaugue consequat duis velit suscipit odio.,t,""
46,Building Bell Systems,Building Bell Systems,https://molestiepraesent.eu,2017-05-11,458,10,46,35,Technical assistance providers,Adipiscing praesent autem consectetuer enim feugiat aliquip diam elitsed dolore exerci diam.,Ut qui praesent sit blandit iustoodio nulla dolor vero ex nonummy feugait.,f,""
47,Virtual Hill Speed,Virtual Hill Speed,https://adipiscingdolore.tv,2020-04-28,649,11,47,35,Technical assistance providers,Amet vel blandit ullamcorper delenit tationullamcorper diam in erat ea augue.,At nulla duis eum eros eufeugiat vero invulputate nibh amet.,f,""
48,Systems Provider Federated,Systems Provider Federated,https://essesuscipit.net,2016-10-16,75,7,48,36,NGO,Vero exerci duis delenit duis vel feugait enim praesent erat minim velit praesent.,Hendrerit at delenit ea.,t,""
49,Future Technology,Future Technology,https://eumcommodoconsequat.com,2012-10-30,880,3,49,37,Investor/Asset manager,Ea lobortis consequatvel sit in feugiat facilisi ea et adipiscing at nisl vero.,Consequat Utwisi duis lorem feugiat accumsan molestie luptatumzzril.,f,""
50,Solutions South,Solutions South,https://indelenit.gov,2017-04-02,472,12,50,35,Technical assistance providers,Vel laoreet enim ea commodo iriuredolor invulputate eum vel eros adipiscing nulla duis.,Duis ex quis tation eros augue invulputate ullamcorper nisl dolor.,t,""
51,Solutions Internet,Solutions Internet,https://veniamquisdolore.net,2013-09-15,481,,51,,Governamental agencies,Tationullamcorper consequat sit luptatumzzril nisl lobortis duis esse duis qui esse exerci etaccumsan autem.,Aliquam duis enim minim.,f,""
52,Data Virtual Pacific,Data Virtual Pacific,https://essealiquip.edu,2020-03-25,863,8,52,36,NGO,Nostrud eu eufeugiat consequat eros invulputate eufeugiat lorem ut ut dolore.,Consequat hendrerit at ad consequat ex consequat.,f,""
53,Solutions Innovation Research,Solutions Innovation Research,https://volutpatduis.tv,2013-10-16,491,9,53,36,NGO,Ut aliquip at commodoconsequat duis tationullamcorper in facilisi iriuredolor dolor euismod.,Dolore te vero dolor nulla vero ut dolore ut facilisi aliquip luptatum.,t,""
54,Virtual Hardware Bell,Virtual Hardware Bell,https://praesentquis.info,2019-10-03,763,6,54,38,Technology/Service Provider,Consequat eum in lobortis tationullamcorper tation iusto.,Augue diam veniam ea.,t,""
55,Telecom Data Analysis,Telecom Data Analysis,https://veroiustoodio.com,2020-08-19,882,13,55,35,Technical assistance providers,Consectetuer at suscipit et nisl esse dolor vero et.,Dignissim odio luptatum in.,t,""
56,Design Data,Design Data,https://utdolore.tv,2013-07-04,24,,56,,Governamental agencies,Nostrud iriure luptatumzzril duis minim molestie dignissim.,Aliquip veniam velit iustoodio veniamquis feugait esse delenitaugue lobortis dolore feugait.,t,""
57,Hardware East South,Hardware East South,https://aliquipcommodoconsequat.us,2011-01-06,904,8,57,31,Financial Institution,Veniamquis vero autem veniamquis duis vero.,Ad vulputate autem nostrud iusto duis ex facilisis aliquip iriure.,f,""
58,Venture Contract Power,Venture Contract Power,https://erosaliquip.gov,2017-03-09,316,4,58,37,Investor/Asset manager,Aliquip doloremagna nonummy ex.,Et dignissim at vero.,f,""
59,Analysis Research,Analysis Research,https://dolornisl.info,2017-10-12,64,,59,,Governamental agencies,Veniam tincidunt vero dolore qui.,Nostrud suscipit laoreet augue nisl.,t,""
60,Technology Provider,Technology Provider,https://facilisisin.info,2012-05-15,87,5,60,37,Investor/Asset manager,In vero blandit dolore eros ex quis et ut suscipit in nostrud hendrerit.,Veniamquis iriuredolor consequat ex at eum ad exerci delenitaugue.,f,""
61,HEDERA NGO TEST,H-NGO,https://example.com,,,10,61,36,NGO,,,f,""
62,HEDERA TEST ACADEMIA,H-UNI,https://example.com,,,9,62,29,Academia,,,f,""
63,HEDERA TEST UNI2,H-UNI1,https://example.com,,,10,63,29,Academia,,,f,""
64,HEDERA TEST NGO,H-NGO,https://example.com,,,11,64,36,NGO,,,f,""
65,Peepal,PPL,http://peepal.com,2020-12-17,33,12,65,36,NGO,mision,vision,f,Screenshot_2020-12-19_at_16.50.06.png
66,MFI,,http://c.com,,,7,66,38,Technology/Service Provider,,,f,""
67,cc,,http://www.hedera.online,,,6,67,37,Investor/Asset manager,,,f,""
68,Xuanchi Guo,,https://www.linkedin.com/in/xuanchi-g-27a270192/,,,11,68,29,Academia,,,f,""
69,Zignuts,Ztl,https://www.zignuts.com,2013-10-10,100,8,69,38,Technology/Service Provider,,,f,""
70,Technische Universität Berlin,TUB,https://www.tu.berlin/en/,,,12,70,29,Academia,,,f,""
71,Bussines for Good,,http://businessforgood.com,,,9,71,31,Financial Institution,,,f,""
72,businnesforgood,,http://businessforgood.com,,,10,72,31,Financial Institution,,,f,""
73,happinness institute,,http://happiness.com,,,11,73,31,Financial Institution,,,f,""
